"filename", "language", "TypeScript", "vue", "SCSS", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/baoji/Documents/VUE/fc-admin/src/components/fcStatistic/index.vue", "vue", 0, 102, 0, 0, 0, 0, 0, 0, 7, 13, 122
"/Users/baoji/Documents/VUE/fc-admin/src/components/fcTable/hooks.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 0, 69, 15, 196
"/Users/baoji/Documents/VUE/fc-admin/src/components/fcTable/index.vue", "vue", 0, 226, 0, 0, 0, 0, 0, 0, 12, 24, 262
"/Users/baoji/Documents/VUE/fc-admin/src/components/fcTable/model.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 4, 3, 40
"/Users/baoji/Documents/VUE/fc-admin/src/components/fcTreeFilter/index.vue", "vue", 0, 174, 0, 0, 0, 0, 0, 0, 7, 25, 206
"/Users/baoji/Documents/VUE/fc-admin/src/components/fcTrend/index.vue", "vue", 0, 64, 0, 0, 0, 0, 0, 0, 7, 12, 83
"/Users/baoji/Documents/VUE/fc-admin/src/components/fcUploadImg/index.vue", "vue", 0, 457, 0, 0, 0, 0, 0, 0, 7, 44, 508
"/Users/baoji/Documents/VUE/fc-admin/src/components/fcUploadImgs/index.vue", "vue", 0, 345, 0, 0, 0, 0, 0, 0, 7, 36, 388
"/Users/baoji/Documents/VUE/fc-admin/src/components/fcWangEditor/index.vue", "vue", 0, 167, 0, 0, 0, 0, 0, 0, 7, 20, 194
"/Users/baoji/Documents/VUE/fc-admin/src/directives/index.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/baoji/Documents/VUE/fc-admin/src/directives/modules/auth.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 13, 9, 60
"/Users/baoji/Documents/VUE/fc-admin/src/directives/modules/copy.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 5, 3, 38
"/Users/baoji/Documents/VUE/fc-admin/src/directives/modules/debounce.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 3, 1, 29
"/Users/baoji/Documents/VUE/fc-admin/src/directives/modules/longpress.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 10, 2, 49
"/Users/baoji/Documents/VUE/fc-admin/src/directives/modules/role.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 5, 3, 24
"/Users/baoji/Documents/VUE/fc-admin/src/directives/modules/throttle.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 3, 2, 35
